Alpha-3 code	Cancer code	Population code (ISO/UN)	Country	Label	Sex	Number	95% UI low	95% UI high	Number	ASR (World)	Crude rate	Cumulative risk
IRQ	23	368	368	Iraq	2	311	249	388	311	2.2	1.5	0.25
IRN	23	364	364	Iran, Islamic Republic of	2	1265	1132	1413	1265	2.5	3.0	0.27
IDN	23	360	360	Indonesia	2	36964	18810	72638	36964	23.3	26.7	2.4
IND	23	356	356	India	2	127526	126058	129011	127526	17.7	18.9	2.0
ISL	23	352	352	Iceland	2	19	12	31	19	9.4	11.1	0.83
HUN	23	348	348	Hungary	2	964	796	1168	964	12.6	19.2	1.2
HND	23	340	340	Honduras	2	916	788	1065	916	19.5	17.9	2.0
HTI	23	332	332	Haiti	2	869	549	1375	869	16.6	14.7	1.7
GUY	23	328	328	Guyana	2	129	45	368	129	30.3	32.7	3.3
GNB	23	624	624	Guinea-Bissau	2	224	99	508	224	34.3	21.3	3.7
GIN	23	324	324	Guinea	2	2551	2275	2860	2551	55.0	35.8	5.6
GTM	23	320	320	Guatemala	2	1761	1337	2320	1761	21.5	18.7	2.2
GUM	23	316	316	Guam	2	19	17	21	19	19.0	22.3	1.9
GRC	23	300	300	Greece	2	473	363	617	473	5.5	9.0	0.55
GHA	23	288	288	Ghana	2	3072	2851	3311	3072	27.0	19.2	3.1
DEU	23	276	276	Germany	2	4544	4176	4945	4544	7.1	10.7	0.70
GEO	23	268	268	Georgia	2	330	216	504	330	10.4	15.9	1.1
PSE	23	275	275	Gaza Strip and West Bank	2	59	41	84	59	3.1	2.2	0.34
GAB	23	266	266	Gabon	2	271	210	350	271	32.5	23.7	3.5
PYF	23	258	258	French Polynesia	2	15	13	17	15	8.3	10.7	0.90
GUF	23	254	254	French Guyana	2	19	16	22	19	12.3	12.0	1.3
MTQ	23	474	474	France, Martinique	2	29	24	35	29	7.5	14.3	0.83
REU	23	638	638	France, La Réunion	2	75	61	92	75	11.0	16.0	1.2
GLP	23	312	312	France, Guadeloupe	2	32	27	38	32	9.9	14.8	1.0
